StudentID,SchoolCode,SchoolName,PaymentDate,AmountReceived,PaymentMethod,LatePayment,CreditCardNumber,TransactionNo,BankName,PaymentType,Weekday,CheckNumber
1,GP,Gabriel Pereira,2022-03-02,1014,Credit Card,No,3321819600133890,83863794,Millennium BCP,cre,Wednesday,
2,GP,Gabriel Pereira,2022-11-02,1063,Check,No,,42351161,Banco Palmas,che,Wednesday,6635
3,GP,Gabriel Pereira,2021-12-19,1170,Credit Card,No,8161849593103413,16475255,Banco Do Brasil,cre,Sunday,
4,GP,Gabriel Pereira,2022-05-04,1173,Check,No,,19283276,Banco Cruzeiro do Sul,che,Wednesday,4598
5,GP,Gabriel Pereira,2022-06-03,1232,Credit Card,No,0564139537672423,88496965,Banco Do Brasil,cre,Friday,
6,GP,Gabriel Pereira,2019-05-11,1421,Cash,Yes,,01226916,,cas,Saturday,
7,GP,Gabriel Pereira,2020-09-20,1510,Cash,No,,80184514,,cas,Sunday,
8,GP,Gabriel Pereira,2021-01-07,1061,Cash,Yes,,48281489,,cas,Thursday,
9,GP,Gabriel Pereira,2019-09-12,1056,Cash,No,,88095701,,cas,Thursday,
10,GP,Gabriel Pereira,2023-10-16,1271,Cash,No,,39117182,,cas,Monday,
11,GP,Gabriel Pereira,2019-04-20,1575,Cash,No,,24896383,,cas,Saturday,
12,GP,Gabriel Pereira,2022-07-31,1219,Cash,No,,57871331,,cas,Sunday,
13,GP,Gabriel Pereira,2020-06-23,921,Check,No,,93010310,Banco Palmas,che,Tuesday,2160
14,GP,Gabriel Pereira,2021-06-18,1143,Cash,No,,38299737,,cas,Friday,
15,GP,Gabriel Pereira,2023-02-09,1316,Credit Card,Yes,6566701065133387,26247317,Caixa Geral de Depósitos,cre,Thursday,
16,GP,Gabriel Pereira,2018-11-12,1567,Check,No,,13267736,Millennium BCP,che,Monday,3697
17,GP,Gabriel Pereira,2020-09-15,902,Cash,No,,74687234,,cas,Tuesday,
18,GP,Gabriel Pereira,2019-10-20,959,Check,No,,05009788,Chase,che,Sunday,1931
19,GP,Gabriel Pereira,2023-12-20,1420,Credit Card,No,1913619399091699,85435346,Chase,cre,Wednesday,
20,GP,Gabriel Pereira,2022-05-07,1560,Cash,No,,10799118,,cas,Saturday,
21,GP,Gabriel Pereira,2019-10-11,1418,Cash,No,,51354278,,cas,Friday,
