StudentID,SchoolCode,SchoolName,PaymentDate,AmountReceived,PaymentMethod,LatePayment,CreditCardNumber,TransactionNo,BankName,PaymentType,Weekday,CheckNumber
1984,GP,Gabriel Pereira,1/1/2020,981,Cash,No,,81436116,,cas,Wednesday,
1142,GP,Gabriel Pereira,1/2/2020,1285,Credit Card,Yes,1.98642E+15,39121870,Novobanco,cre,Thursday,
1024,GP,Gabriel Pereira,1/3/2020,1248,Cash,Yes,,68826917,,cas,Friday,
1764,GP,Gabriel Pereira,1/4/2020,1404,Check,No,,34185595,Millennium BCP,che,Saturday,9490
814,GP,Gabriel Pereira,1/5/2020,1420,Credit Card,No,6.66155E+13,4502329,Millennium BCP,cre,Sunday,
983,GP,Gabriel Pereira,1/5/2020,1563,Check,No,,16934292,Caixa Geral de Depósitos,che,Sunday,5076
1803,GP,Gabriel Pereira,1/7/2020,1070,Cash,No,,42805376,,cas,Tuesday,
1780,GP,Gabriel Pereira,1/8/2020,1529,Cash,No,,19916053,,cas,Wednesday,
1225,GP,Gabriel Pereira,1/9/2020,1238,Credit Card,Yes,3.55373E+15,11952963,Banco Palmas,cre,Thursday,
1659,GP,Gabriel Pereira,1/9/2020,1002,Credit Card,No,7.16349E+14,8511919,Banco Cruzeiro do Sul,cre,Thursday,
1744,GP,Gabriel Pereira,1/9/2020,1242,Credit Card,No,6.55156E+15,9358201,Novobanco,cre,Thursday,
1923,GP,Gabriel Pereira,1/9/2020,1022,Cash,Yes,,53718605,,cas,Thursday,
1470,GP,Gabriel Pereira,1/10/2020,1513,Check,No,,9955049,Banco Do Brasil,che,Friday,3341
630,GP,Gabriel Pereira,1/11/2020,1384,Cash,No,,72197054,,cas,Saturday,
1126,GP,Gabriel Pereira,1/11/2020,1314,Cash,No,,26540165,,cas,Saturday,
1284,GP,Gabriel Pereira,1/12/2020,1358,Cash,No,,73535247,,cas,Sunday,
1001,GP,Gabriel Pereira,1/14/2020,1167,Cash,No,,20673231,,cas,Tuesday,
1286,GP,Gabriel Pereira,1/15/2020,1196,Check,No,,53788033,Caixa Geral de Depósitos,che,Wednesday,9681
1370,GP,Gabriel Pereira,1/15/2020,962,Credit Card,No,9.98519E+15,29163504,Novobanco,cre,Wednesday,
151,GP,Gabriel Pereira,1/17/2020,1466,Check,No,,64235369,Banco Do Brasil,che,Friday,9180
202,GP,Gabriel Pereira,1/17/2020,1222,Cash,No,,55743132,,cas,Friday,
1004,GP,Gabriel Pereira,1/17/2020,1063,Credit Card,No,2.99875E+15,67086700,Millennium BCP,cre,Friday,
1234,GP,Gabriel Pereira,1/17/2020,1269,Check,No,,45663113,Banco Palmas,che,Friday,1787
1748,GP,Gabriel Pereira,1/17/2020,1179,Cash,No,,53926096,,cas,Friday,
798,GP,Gabriel Pereira,1/24/2020,1444,Credit Card,No,8.84713E+15,41758231,Banco Do Brasil,cre,Friday,
1310,GP,Gabriel Pereira,1/24/2020,1070,Credit Card,No,1.23191E+15,79419324,Banco Palmas,cre,Friday,
969,GP,Gabriel Pereira,1/25/2020,1207,Check,No,,39464083,Millennium BCP,che,Saturday,4633
1079,GP,Gabriel Pereira,1/26/2020,1467,Cash,No,,78889753,,cas,Sunday,
1307,GP,Gabriel Pereira,1/27/2020,1101,Credit Card,No,6.88116E+15,73877583,Banco Do Brasil,cre,Monday,
161,GP,Gabriel Pereira,1/31/2020,1057,Cash,No,,26551104,,cas,Friday,
1010,GP,Gabriel Pereira,1/31/2020,1148,Credit Card,No,2.69429E+15,86314417,Millennium BCP,cre,Friday,
1907,GP,Gabriel Pereira,1/31/2020,1393,Cash,Yes,,69509355,,cas,Friday,
734,GP,Gabriel Pereira,2/1/2020,1114,Check,No,,87535778,Caixa Geral de Depósitos,che,Saturday,2721
838,GP,Gabriel Pereira,2/3/2020,1488,Credit Card,No,7.79612E+15,14940976,Chase,cre,Monday,
1441,GP,Gabriel Pereira,2/7/2020,1534,Cash,No,,39160770,,cas,Friday,
23,GP,Gabriel Pereira,2/9/2020,1188,Check,No,,53487401,Novobanco,che,Sunday,5533
955,GP,Gabriel Pereira,2/9/2020,1236,Check,No,,60944128,Banco Do Brasil,che,Sunday,4587
1770,GP,Gabriel Pereira,2/9/2020,1094,Credit Card,No,4.27494E+15,80300735,Novobanco,cre,Sunday,
106,GP,Gabriel Pereira,2/11/2020,1027,Cash,No,,67652775,,cas,Tuesday,
1118,GP,Gabriel Pereira,2/12/2020,928,Check,No,,17718249,Millennium BCP,che,Wednesday,9957
1277,GP,Gabriel Pereira,2/13/2020,1581,Cash,No,,86524062,,cas,Thursday,
773,GP,Gabriel Pereira,2/14/2020,1090,Cash,No,,9624406,,cas,Friday,
1602,GP,Gabriel Pereira,2/14/2020,1427,Check,No,,47558030,Millennium BCP,che,Friday,2689
