IDAluno,NomeDaEscola,DataPagamento,ValorRecebido,MetodoPagamento,AtrasoPagamento,NumeroCartaoCredito,NumeroTransacao,NomeBanco,TipoPagamento,DiaSemana,NumeroCheque
1,Mousinho da Silveira,2022-03-02,1014,Credit Card,No,3321819600133890,83863794,Millennium BCP,cre,Wednesday,
2,Mousinho da Silveira,2022-11-02,1063,Check,No,,42351161,Caixa Geral de Depósitos,che,Wednesday,6635
3,Mousinho da Silveira,2021-12-19,1170,Credit Card,No,8161849593103413,16475255,Millennium BCP,cre,Sunday,
4,Mousinho da Silveira,2022-05-04,1173,Check,No,,19283276,Caixa Geral de Depósitos,che,Wednesday,4598
5,Mousinho da Silveira,2022-06-03,1232,Credit Card,No,0564139537672423,88496965,Millennium BCP,cre,Friday,
6,Mousinho da Silveira,2019-05-11,1421,Cash,Yes,,01226916,,cas,Saturday,
7,Mousinho da Silveira,2020-09-20,1510,Cash,No,,80184514,,cas,Sunday,
8,Mousinho da Silveira,2021-01-07,1061,Cash,Yes,,48281489,,cas,Thursday,
9,Mousinho da Silveira,2019-09-12,1056,Cash,No,,88095701,,cas,Thursday,
10,Mousinho da Silveira,2023-10-16,1271,Cash,No,,39117182,,cas,Monday,
11,Mousinho da Silveira,2019-04-20,1575,Cash,No,,24896383,,cas,Saturday,
12,Mousinho da Silveira,2022-07-31,1219,Cash,No,,57871331,,cas,Sunday,
13,Mousinho da Silveira,2020-06-23,921,Check,No,,93010310,Caixa Geral de Depósitos,che,Tuesday,2160
14,Mousinho da Silveira,2021-06-18,1143,Cash,No,,38299737,,cas,Friday,
15,Mousinho da Silveira,2023-02-09,1316,Credit Card,Yes,6566701065133387,26247317,Millennium BCP,cre,Thursday,
16,Mousinho da Silveira,2018-11-12,1567,Check,No,,13267736,Millennium BCP,che,Monday,3697
17,Mousinho da Silveira,2020-09-15,902,Cash,No,,74687234,,cas,Tuesday,
18,Mousinho da Silveira,2019-10-20,959,Check,No,,05009788,Millennium BCP,che,Sunday,1931
19,Mousinho da Silveira,2023-12-20,1420,Credit Card,No,1913619399091699,85435346,Millennium BCP,cre,Wednesday,
20,Mousinho da Silveira,2022-05-07,1560,Cash,No,,10799118,,cas,Saturday,
21,Mousinho da Silveira,2019-10-11,1418,Cash,No,,51354278,,cas,Friday,
22,Mousinho da Silveira,2022-07-11,1209,Check,No,,80841241,Millennium BCP,che,Monday,3546
23,Mousinho da Silveira,2020-02-09,1188,Check,No,,53487401,Caixa Geral de Depósitos,che,Sunday,5533
24,Mousinho da Silveira,2018-10-30,903,Cash,No,,42786801,,cas,Tuesday,
25,Mousinho da Silveira,2019-01-02,1052,Check,Yes,,59826204,Caixa Geral de Depósitos,che,Wednesday,1653
26,Mousinho da Silveira,2023-08-15,1266,Credit Card,No,1586923226025634,21607337,Caixa Geral de Depósitos,cre,Tuesday,
27,Mousinho da Silveira,2020-04-17,1133,Credit Card,Yes,3654145868501429,40196556,Millennium BCP,cre,Friday,
28,Mousinho da Silveira,2020-09-27,1490,Credit Card,No,6088356159514846,56482366,Millennium BCP,cre,Sunday,
29,Mousinho da Silveira,2022-01-12,1482,Cash,No,,04436995,,cas,Wednesday,
30,Mousinho da Silveira,2021-03-10,1352,Cash,No,,87214895,,cas,Wednesday,
31,Mousinho da Silveira,2019-02-08,1140,Check,No,,32003791,Caixa Geral de Depósitos,che,Friday,7790
32,Mousinho da Silveira,2023-07-20,1544,Check,No,,67632016,Millennium BCP,che,Thursday,3881
33,Mousinho da Silveira,2023-02-02,1430,Cash,Yes,,31727889,,cas,Thursday,
34,Mousinho da Silveira,2020-05-11,1353,Check,No,,86872774,Millennium BCP,che,Monday,5543
35,Mousinho da Silveira,2022-11-16,1433,Cash,No,,47143455,,cas,Wednesday,
36,Mousinho da Silveira,2023-08-03,1453,Credit Card,No,3623166587603669,09670546,Caixa Geral de Depósitos,cre,Thursday,
37,Mousinho da Silveira,2021-08-07,1459,Check,No,,73467065,Caixa Geral de Depósitos,che,Saturday,3704
38,Mousinho da Silveira,2023-04-18,1378,Credit Card,No,8069901627204653,75564641,Caixa Geral de Depósitos,cre,Tuesday,
39,Mousinho da Silveira,2018-09-09,1452,Credit Card,No,5310033092327193,74529912,Caixa Geral de Depósitos,cre,Sunday,
40,Mousinho da Silveira,2019-03-10,1492,Credit Card,No,9663193149190586,51850671,Caixa Geral de Depósitos,cre,Sunday,
41,Mousinho da Silveira,2023-12-20,1270,Check,No,,72628498,Caixa Geral de Depósitos,che,Wednesday,8616
42,Mousinho da Silveira,2021-01-09,1506,Cash,No,,31473799,,cas,Saturday,
43,Mousinho da Silveira,2022-04-30,1288,Cash,Yes,,52735454,,cas,Saturday,
44,Mousinho da Silveira,2023-07-08,1510,Check,No,,80831367,Millennium BCP,che,Saturday,8800
45,Mousinho da Silveira,2022-03-15,1402,Cash,No,,14363495,,cas,Tuesday,
46,Mousinho da Silveira,2021-03-27,1466,Check,No,,85574443,Millennium BCP,che,Saturday,4155
47,Mousinho da Silveira,2020-05-08,1022,Check,No,,23374989,Caixa Geral de Depósitos,che,Friday,2647
48,Mousinho da Silveira,2023-04-02,1098,Cash,No,,24082400,,cas,Sunday,
49,Mousinho da Silveira,2021-09-07,1199,Check,No,,71094777,Caixa Geral de Depósitos,che,Tuesday,4020
50,Mousinho da Silveira,2023-12-30,952,Cash,No,,71167190,,cas,Saturday,
51,Mousinho da Silveira,2019-06-07,1052,Check,No,,13186999,Millennium BCP,che,Friday,9561
52,Mousinho da Silveira,2020-09-18,1361,Cash,No,,96499091,,cas,Friday,
53,Mousinho da Silveira,2023-11-23,1112,Check,No,,12328120,Caixa Geral de Depósitos,che,Thursday,8381
54,Mousinho da Silveira,2022-06-12,1508,Cash,No,,34471349,,cas,Sunday,
55,Mousinho da Silveira,2022-04-16,1102,Cash,No,,32421024,,cas,Saturday,
56,Mousinho da Silveira,2021-12-01,1482,Cash,No,,74648877,,cas,Wednesday,
57,Mousinho da Silveira,2019-01-12,1512,Credit Card,No,5940139904902787,42967175,Caixa Geral de Depósitos,cre,Saturday,
58,Mousinho da Silveira,2020-06-13,1228,Check,No,,25674680,Caixa Geral de Depósitos,che,Saturday,2442
59,Mousinho da Silveira,2020-05-06,1158,Cash,No,,68087603,,cas,Wednesday,
60,Mousinho da Silveira,2021-06-27,1270,Check,No,,70348247,Caixa Geral de Depósitos,che,Sunday,2989
61,Mousinho da Silveira,2018-09-29,1545,Check,No,,24808613,Millennium BCP,che,Saturday,8560
62,Mousinho da Silveira,2023-11-22,1020,Check,No,,74846773,Caixa Geral de Depósitos,che,Wednesday,3369
63,Mousinho da Silveira,2020-09-24,1095,Check,No,,21465840,Caixa Geral de Depósitos,che,Thursday,5891
64,Mousinho da Silveira,2023-04-12,1501,Check,No,,72787558,Caixa Geral de Depósitos,che,Wednesday,8460
65,Mousinho da Silveira,2023-10-24,1229,Credit Card,No,3963605766270289,51718702,Caixa Geral de Depósitos,cre,Tuesday,
66,Mousinho da Silveira,2023-06-19,1570,Credit Card,Yes,4596158657809134,31611724,Millennium BCP,cre,Monday,
67,Mousinho da Silveira,2018-11-03,1232,Credit Card,No,5623869222196937,92374740,Caixa Geral de Depósitos,cre,Saturday,
68,Mousinho da Silveira,2023-08-20,1194,Check,No,,17594647,Caixa Geral de Depósitos,che,Sunday,4263
69,Mousinho da Silveira,2020-09-26,1394,Credit Card,No,9594406409097439,53394210,Caixa Geral de Depósitos,cre,Saturday,
70,Mousinho da Silveira,2023-01-02,1351,Credit Card,No,2145623285884247,45171236,Caixa Geral de Depósitos,cre,Monday,
71,Mousinho da Silveira,2019-02-01,1304,Credit Card,No,1754965137098593,17461200,Caixa Geral de Depósitos,cre,Friday,
72,Mousinho da Silveira,2021-05-05,1018,Credit Card,No,8267586926179640,53773515,Caixa Geral de Depósitos,cre,Wednesday,
73,Mousinho da Silveira,2018-12-03,1307,Cash,No,,17139005,,cas,Monday,
74,Mousinho da Silveira,2019-12-12,1028,Check,No,,83933529,Millennium BCP,che,Thursday,5542
75,Mousinho da Silveira,2023-05-25,1048,Credit Card,No,2102053950240268,11775891,Caixa Geral de Depósitos,cre,Thursday,
